MiningPower,NON,Height,Onchain,Orphan,AttackSuccess,BuildTime
0.007,300,30,2,4,0,3
0.007,300,50,3,8,0,986
0.007,300,100,6,3,0,1
0.007,300,200,9,6,0,1
0.007,300,250,10,6,0,1
0.007,1000,30,4,4,0,1
0.007,1000,50,4,3,1,1
0.007,1000,100,1,4,0,2
0.007,1000,200,7,9,0,4
0.007,1000,250,6,6,0,4
0.007,3000,30,6,12,1,2
0.007,3000,50,4,6,1,3
0.007,3000,100,5,3,1,7
0.007,3000,200,14,13,0,13
0.007,3000,250,16,19,0,17
0.007,6000,30,6,3,1,6
0.007,6000,50,5,14,1,10
0.007,6000,100,10,4,1,19
0.007,6000,200,11,6,1,34
0.007,6000,250,5,10,1,48
0.007,8000,30,4,5,1,9
0.007,8000,50,6,8,1,16
0.007,8000,100,3,8,0,27
0.007,8000,200,10,10,1,52
0.007,8000,250,6,6,0,1
0.007,8050,30,4,9,1,8
0.007,8050,50,2,7,0,10
0.007,8050,100,7,11,1,15
0.007,8050,200,10,8,0,27
0.007,8050,250,6,3,1,57
0.010,300,30,5,5,1,1
0.010,300,50,2,4,0,11
0.010,300,100,4,6,0,855
0.010,300,200,15,5,0,1
0.010,300,250,19,5,0,1
0.010,1000,30,1,5,0,1
0.010,1000,50,1,6,0,1
0.010,1000,100,3,6,0,1
0.010,1000,200,6,4,0,1
0.010,1000,250,8,3,1,2
0.010,3000,30,6,18,1,3
0.010,3000,50,7,12,1,4
0.010,3000,100,5,16,0,2
0.010,3000,200,12,5,1,4
0.010,3000,250,15,7,0,7
0.010,6000,30,5,11,1,13
0.010,6000,50,1,11,0,17
0.010,6000,100,6,11,1,6
0.010,6000,200,10,5,1,9
0.010,6000,250,10,2,1,18
0.010,8000,30,6,4,1,35
0.010,8000,50,4,3,1,49
0.010,8000,100,6,7,1,9
0.010,8000,200,2,4,0,15
0.010,8000,250,10,6,1,31
0.010,8050,30,1,9,0,56
0.010,8050,50,7,5,1,56
0.010,8050,100,5,15,0,9
0.010,8050,200,13,4,1,15
0.010,8050,250,9,6,1,29
0.030,300,30,1,7,0,56
0.030,300,50,5,4,1,1
0.030,300,100,3,5,0,11
0.030,300,200,13,2,0,828
0.030,300,250,14,6,0,1
0.030,1000,30,3,7,0,1
0.030,1000,50,5,2,1,1
0.030,1000,100,9,2,1,1
0.030,1000,200,7,2,1,1
0.030,1000,250,14,2,1,1
0.030,3000,30,4,6,1,2
0.030,3000,50,9,7,1,4
0.030,3000,100,8,7,1,4
0.030,3000,200,21,8,1,2
0.030,3000,250,19,3,1,4
0.030,6000,30,5,2,1,7
0.030,6000,50,6,3,1,13
0.030,6000,100,7,5,1,17
0.030,6000,200,8,2,1,6
0.030,6000,250,16,6,1,10
0.030,8000,30,5,2,1,18
0.030,8000,50,4,2,1,35
0.030,8000,100,14,4,1,47
0.030,8000,200,11,3,1,11
0.030,8000,250,15,5,1,14
0.030,8050,30,5,5,1,29
0.030,8050,50,9,3,1,55
0.030,8050,100,7,2,1,1
0.030,8050,200,20,4,1,10
0.030,8050,250,17,5,1,10
0.070,300,30,7,3,1,15
0.070,300,50,9,2,1,23
0.070,300,100,15,4,1,57
0.070,300,200,28,3,1,1
0.070,300,250,27,3,1,11
0.070,1000,30,7,5,1,823
0.070,1000,50,8,2,1,877
0.070,1000,100,12,2,1,1
0.070,1000,200,27,2,1,1
0.070,1000,250,31,3,1,1
0.070,3000,30,8,6,1,1
0.070,3000,50,9,2,1,1
0.070,3000,100,13,2,1,2
0.070,3000,200,20,2,1,3
0.070,3000,250,31,8,1,4
0.070,6000,30,5,5,1,3
0.070,6000,50,8,2,1,4
0.070,6000,100,10,3,1,7
0.070,6000,200,18,3,1,13
0.070,6000,250,28,4,1,17
0.070,8000,30,6,2,1,6
0.070,8000,50,6,2,1,10
0.070,8000,100,12,2,1,20
0.070,8000,200,24,3,1,35
0.070,8000,250,21,2,1,47
0.070,8050,30,7,2,1,9
0.070,8050,50,8,2,1,13
0.070,8050,100,14,4,1,29
0.070,8050,200,19,3,1,55
0.070,8050,250,19,2,1,54
0.080,300,30,8,3,1,10
0.080,300,50,9,2,1,15
0.080,300,100,15,2,1,28
0.080,300,200,22,5,1,57
0.080,300,250,26,3,1,1
0.080,1000,30,5,4,1,11
0.080,1000,50,8,2,1,882
0.080,1000,100,11,2,1,871
0.080,1000,200,19,2,1,1
0.080,1000,250,24,2,1,1
0.080,3000,30,9,2,1,1
0.080,3000,50,7,5,1,1
0.080,3000,100,17,4,1,1
0.080,3000,200,25,3,1,2
0.080,3000,250,26,3,1,3
0.080,6000,30,6,2,1,4
0.080,6000,50,9,2,1,2
0.080,6000,100,11,4,1,4
0.080,6000,200,29,2,1,7
0.080,6000,250,31,3,1,13
0.080,8000,30,5,2,1,17
0.080,8000,50,7,2,1,6
0.080,8000,100,10,2,1,10
0.080,8000,200,23,2,1,18
0.080,8000,250,23,2,1,39
0.080,8050,30,6,4,1,44
0.080,8050,50,12,3,1,8
0.080,8050,100,15,3,1,13
0.080,8050,200,25,2,1,28
0.080,8050,250,20,2,1,56
0.100,300,30,8,2,1,1
0.100,300,50,4,5,1,10
0.100,300,100,18,2,1,10
0.100,300,200,37,2,1,15
0.100,300,250,29,4,1,29
0.100,1000,30,8,2,1,56
0.100,1000,50,7,3,1,1
0.100,1000,100,16,2,1,11
0.100,1000,200,27,3,1,819
0.100,1000,250,30,2,1,873
0.100,3000,30,5,2,1,1
0.100,3000,50,11,3,1,1
0.100,3000,100,19,3,1,1
0.100,3000,200,32,3,1,1
0.100,3000,250,40,2,1,1
0.100,6000,30,4,2,1,2
0.100,6000,50,6,3,1,3
0.100,6000,100,19,2,1,5
0.100,6000,200,25,5,1,2
0.100,6000,250,33,2,1,4
0.100,8000,30,9,2,1,7
0.100,8000,50,8,2,1,14
0.100,8000,100,17,2,1,18
0.100,8000,200,25,5,1,6
0.100,8000,250,33,2,1,9
0.100,8050,30,6,3,1,20
0.100,8050,50,10,2,1,36
0.100,8050,100,17,2,1,47
0.100,8050,200,27,2,1,9
0.100,8050,250,29,2,1,15
0.007,300,30,1,4,0,28
0.007,300,50,2,5,0,56
0.007,300,100,5,3,0,1
0.007,300,200,9,5,0,9
0.007,300,250,10,9,1,8
0.007,1000,30,2,5,0,15
0.007,1000,50,1,6,0,29
0.007,1000,100,4,5,0,55
0.007,1000,200,2,3,0,1
0.007,1000,250,4,3,0,10
0.007,3000,30,2,15,0,843
0.007,3000,50,6,11,1,866
0.007,3000,100,8,6,1,1
0.007,3000,200,9,13,0,1
0.007,3000,250,18,15,0,1
0.007,6000,30,4,8,1,1
0.007,6000,50,1,6,0,1
0.007,6000,100,4,10,0,2
0.007,6000,200,10,11,1,3
0.007,6000,250,9,18,0,4
0.007,8000,30,2,11,0,2
0.007,8000,50,5,6,1,4
0.007,8000,100,2,7,0,7
0.007,8000,200,8,8,1,13
0.007,8000,250,9,4,0,17
0.007,8050,30,4,7,1,6
0.007,8050,50,5,8,1,10
0.007,8050,100,5,12,1,21
0.007,8050,200,8,8,1,34
0.007,8050,250,7,11,1,48
0.010,300,30,1,7,0,8
0.010,300,50,4,7,0,15
0.010,300,100,5,2,0,21
0.010,300,200,10,4,0,1
0.010,300,250,7,6,0,1
0.010,1000,30,4,2,1,1
0.010,1000,50,2,4,0,1
0.010,1000,100,3,5,0,8
0.010,1000,200,6,4,1,15
0.010,1000,250,1,7,0,30
0.010,3000,30,7,7,1,57
0.010,3000,50,6,5,1,1
0.010,3000,100,8,15,0,4
0.010,3000,200,12,16,1,810
0.010,3000,250,13,4,0,895
0.010,6000,30,2,10,0,1
0.010,6000,50,7,9,1,1
0.010,6000,100,6,4,1,1
0.010,6000,200,8,7,1,1
0.010,6000,250,11,11,0,1
0.010,8000,30,5,5,1,2
0.010,8000,50,7,4,1,4
0.010,8000,100,6,3,1,4
0.010,8000,200,11,5,1,3
0.010,8000,250,7,7,1,3
0.010,8050,30,4,8,1,7
0.010,8050,50,6,7,1,14
0.010,8050,100,7,3,1,17
0.010,8050,200,5,8,0,6
0.010,8050,250,11,5,1,10
0.030,300,30,8,6,1,20
0.030,300,50,4,3,0,36
0.030,300,100,9,5,0,44
0.030,300,200,9,2,0,10
0.030,300,250,15,6,0,15
0.030,1000,30,1,4,0,29
0.030,1000,50,5,3,1,56
0.030,1000,100,10,6,1,1
0.030,1000,200,12,2,1,10
0.030,1000,250,13,4,1,10
0.030,3000,30,5,10,0,16
0.030,3000,50,7,4,1,29
0.030,3000,100,9,7,1,57
0.030,3000,200,18,11,1,1
0.030,3000,250,18,4,1,10
0.030,6000,30,6,2,1,835
0.030,6000,50,6,3,1,939
0.030,6000,100,9,4,1,1
0.030,6000,200,10,4,1,1
0.030,6000,250,15,4,1,1
0.030,8000,30,4,2,1,1
0.030,8000,50,6,2,1,1
0.030,8000,100,5,3,1,2
0.030,8000,200,17,5,1,4
0.030,8000,250,19,3,1,4
0.030,8050,30,5,2,1,2
0.030,8050,50,8,4,1,3
0.030,8050,100,8,3,1,7
0.030,8050,200,13,4,1,13
0.030,8050,250,12,2,1,17
0.070,300,30,5,3,1,6
0.070,300,50,8,2,1,10
0.070,300,100,10,3,1,20
0.070,300,200,23,5,1,39
0.070,300,250,33,3,1,49
0.070,1000,30,6,2,1,9
0.070,1000,50,10,2,1,13
0.070,1000,100,13,4,1,28
0.070,1000,200,25,2,1,40
0.070,1000,250,24,2,1,1
0.070,3000,30,7,3,1,11
0.070,3000,50,8,6,1,10
0.070,3000,100,19,2,1,15
0.070,3000,200,22,3,1,29
0.070,3000,250,34,3,1,57
0.070,6000,30,9,2,1,1
0.070,6000,50,8,3,1,8
0.070,6000,100,12,3,1,879
0.070,6000,200,22,2,1,826
0.070,6000,250,22,2,1,1
0.070,8000,30,5,4,1,1
0.070,8000,50,7,2,1,1
0.070,8000,100,8,2,1,1
0.070,8000,200,28,3,1,1
0.070,8000,250,16,3,1,2
0.070,8050,30,6,2,1,4
0.070,8050,50,8,4,1,7
0.070,8050,100,9,2,1,2
0.070,8050,200,22,2,1,4
0.070,8050,250,28,4,1,7
0.080,300,30,7,3,1,13
0.080,300,50,8,6,1,16
0.080,300,100,12,6,1,6
0.080,300,200,27,3,1,10
0.080,300,250,27,4,1,18
0.080,1000,30,9,2,1,36
0.080,1000,50,9,3,1,46
0.080,1000,100,11,2,1,10
