MiningPower,NON,Height,Onchain,Orphan,BuildTime
0.007,300,30,0,0,973
0.007,300,50,0,0,1
0.007,300,100,0,1,1
0.007,300,200,0,1,2
0.007,300,250,0,1,2
0.007,1000,30,0,0,1
0.007,1000,50,0,0,2
0.007,1000,100,2,0,3
0.007,1000,200,4,0,5
0.007,1000,250,0,2,6
0.007,3000,30,0,0,3
0.007,3000,50,0,0,5
0.007,3000,100,1,0,10
0.007,3000,200,1,0,19
0.007,3000,250,0,3,24
0.007,6000,30,0,0,8
0.007,6000,50,0,0,14
0.007,6000,100,1,0,27
0.007,6000,200,1,3,56
0.007,6000,250,3,1,1
0.007,8000,30,0,0,4
0.007,8000,50,1,0,14
0.007,8000,100,0,1,22
0.007,8050,30,0,0,37
0.007,8050,50,3,0,14
0.007,8050,100,1,0,20
0.007,8050,200,0,2,38
0.010,300,30,0,0,1
0.010,300,50,0,0,21
0.010,300,100,0,2,884
0.010,300,200,0,1,981
0.010,300,250,0,3,1
0.010,1000,30,0,0,1
0.010,1000,50,0,0,2
0.010,1000,100,0,1,1
0.010,1000,200,3,0,1
0.010,1000,250,7,0,3
0.010,3000,30,1,0,5
0.010,3000,50,1,0,6
0.010,3000,100,0,0,3
0.010,3000,200,1,0,5
0.010,3000,250,0,1,10
0.010,6000,30,1,0,19
0.010,6000,50,0,0,25
0.010,6000,100,1,1,10
0.010,6000,200,3,3,14
0.010,6000,250,0,2,27
0.010,8000,30,0,0,1
0.010,8000,50,0,2,1
0.010,8000,100,0,1,9
0.010,8000,200,0,2,16
0.010,8050,30,0,0,20
0.010,8050,50,0,0,47
0.010,8050,100,1,0,1
0.010,8050,200,2,0,17
0.030,300,30,0,0,14
0.030,300,50,0,4,20
0.030,300,100,0,2,42
0.030,300,200,1,7,1
0.030,300,250,0,10,22
0.030,1000,30,0,0,921
0.030,1000,50,2,1,951
0.030,1000,100,3,1,1
0.030,1000,200,2,5,1
0.030,1000,250,5,1,2
0.030,3000,30,0,1,1
0.030,3000,50,2,1,1
0.030,3000,100,0,0,3
0.030,3000,200,2,3,5
0.030,3000,250,1,3,6
0.030,6000,30,2,0,3
0.030,6000,50,0,0,6
0.030,6000,100,1,1,10
0.030,6000,200,1,4,20
0.030,6000,250,3,5,24
0.030,8000,30,0,3,9
0.030,8000,50,0,0,14
0.030,8000,100,0,2,23
0.030,8000,200,2,4,56
0.030,8050,30,0,2,1
0.030,8050,50,0,0,3
0.030,8050,100,5,1,14
0.030,8050,200,6,1,24
0.070,300,30,0,2,42
0.070,300,50,0,3,1
0.070,300,100,0,3,23
0.070,300,200,5,6,14
0.070,300,250,2,19,22
0.070,1000,30,0,1,38
0.070,1000,50,1,1,1
0.070,1000,100,7,0,18
0.070,1000,200,13,4,951
0.070,1000,250,12,13,1
0.070,3000,30,2,0,1
0.070,3000,50,1,1,1
0.070,3000,100,5,3,2
0.070,3000,200,7,9,1
0.070,3000,250,9,11,1
0.070,6000,30,0,0,2
0.070,6000,50,1,3,5
0.070,6000,100,5,2,6
0.070,6000,200,6,4,3
0.070,6000,250,5,13,5
0.070,8000,30,0,1,10
0.070,8000,50,0,2,20
0.070,8000,100,0,8,24
0.070,8000,200,4,8,9
0.070,8050,30,2,1,14
0.070,8050,50,3,1,25
0.070,8050,100,6,2,58
0.070,8050,200,12,4,1
0.080,300,30,1,2,13
0.080,300,50,0,6,13
0.080,300,100,2,7,22
0.080,300,200,3,12,43
0.080,300,250,6,17,1
0.080,1000,30,1,3,24
0.080,1000,50,2,2,13
0.080,1000,100,8,2,22
0.080,1000,200,9,6,40
0.080,1000,250,15,4,1
0.080,3000,30,2,1,21
0.080,3000,50,2,1,911
0.080,3000,100,4,8,1
0.080,3000,200,1,10,1
0.080,3000,250,13,6,1
0.080,6000,30,1,0,2
0.080,6000,50,4,4,1
0.080,6000,100,2,5,1
0.080,6000,200,10,9,3
0.080,6000,250,11,6,5
0.080,8000,30,0,1,7
0.080,8000,50,1,3,3
0.080,8000,100,1,9,6
0.080,8000,200,6,20,10
0.080,8050,30,3,1,17
0.080,8050,50,4,0,23
0.080,8050,100,7,3,9
0.080,8050,200,8,9,15
0.100,300,30,0,2,26
0.100,300,50,0,3,52
0.100,300,100,0,9,1
0.100,300,200,6,21,9
0.100,300,250,9,16,14
0.100,1000,30,1,1,21
0.100,1000,50,3,2,43
0.100,1000,100,8,1,1
0.100,1000,200,16,7,18
0.100,1000,250,17,9,13
0.100,3000,30,3,2,18
0.100,3000,50,5,5,44
0.100,3000,100,7,8,1
0.100,3000,200,11,10,21
0.100,3000,250,19,9,897
0.100,6000,30,0,1,954
0.100,6000,50,3,3,1
0.100,6000,100,7,5,1
0.100,6000,200,9,10,2
0.100,6000,250,21,8,1
0.100,8000,30,1,3,1
0.100,8000,50,0,7,3
0.100,8000,100,2,8,5
0.100,8050,30,4,0,6
0.100,8050,50,2,1,3
0.100,8050,100,8,1,6
0.100,8050,200,14,9,10
0.007,300,30,0,0,19
0.007,300,50,0,1,26
0.007,300,100,0,0,9
0.007,300,200,0,1,15
0.007,300,250,0,2,29
0.007,1000,30,1,0,50
0.007,1000,50,1,0,1
0.007,1000,100,2,1,2
0.007,1000,200,2,1,14
0.007,1000,250,3,0,22
0.007,3000,30,0,0,42
0.007,3000,50,0,0,14
0.007,3000,100,0,1,21
0.007,3000,200,1,4,40
0.007,3000,250,0,1,1
0.007,6000,30,0,0,14
0.007,6000,50,0,0,891
0.007,6000,100,1,0,1
0.007,6000,200,0,0,1
0.007,6000,250,1,2,2
0.007,8000,30,0,0,2
0.007,8000,50,0,0,1
0.007,8000,100,0,0,1
0.007,8000,200,1,0,2
0.007,8050,30,0,0,5
0.007,8050,50,0,0,6
0.007,8050,100,0,0,3
0.007,8050,200,1,0,5
0.010,300,30,0,0,10
0.010,300,50,0,0,18
0.010,300,100,0,0,22
0.010,300,200,1,1,9
0.010,300,250,0,1,16
0.010,1000,30,0,0,28
0.010,1000,50,1,1,57
0.010,1000,100,3,0,1
0.010,1000,200,3,1,8
0.010,1000,250,4,0,16
0.010,3000,30,1,0,21
0.010,3000,50,0,1,42
0.010,3000,100,0,1,1
0.010,3000,200,1,2,21
0.010,3000,250,1,1,12
0.010,6000,30,0,1,19
0.010,6000,50,0,0,42
0.010,6000,100,0,0,1
0.010,6000,200,0,1,11
0.010,8000,30,0,0,1
0.010,8000,50,0,0,994
0.010,8000,100,0,1,1
0.010,8050,30,1,1,2
0.010,8050,50,0,0,2
0.010,8050,100,0,0,1
0.010,8050,200,0,2,1
0.030,300,30,0,1,3
0.030,300,50,1,1,5
0.030,300,100,1,5,6
0.030,300,200,0,5,3
0.030,300,250,3,7,5
0.030,1000,30,2,0,10
0.030,1000,50,3,0,17
0.030,1000,100,3,1,23
0.030,1000,200,4,4,9
0.030,1000,250,2,1,16
0.030,3000,30,0,2,27
0.030,3000,50,1,0,57
0.030,3000,100,4,2,15
0.030,3000,200,3,5,20
0.030,3000,250,2,3,40
0.030,6000,30,1,2,15
0.030,6000,50,2,0,22
0.030,6000,100,0,2,39
0.030,6000,200,2,4,1
0.030,6000,250,2,2,24
0.030,8000,30,0,0,996
0.030,8000,50,0,2,1
0.030,8000,100,0,3,1
0.030,8050,30,0,1,2
0.030,8050,50,0,0,2
0.030,8050,100,0,0,1
0.030,8050,200,5,0,2
0.070,300,30,0,4,3
0.070,300,50,0,5,5
0.070,300,100,0,12,7
0.070,300,200,3,7,3
0.070,300,250,1,14,5
0.070,1000,30,2,4,10
0.070,1000,50,4,1,19
0.070,1000,100,3,2,23
0.070,1000,200,10,0,10
0.070,1000,250,11,2,14
0.070,3000,30,2,1,25
0.070,3000,50,0,2,47
0.070,3000,100,5,5,58
0.070,3000,200,6,2,14
0.070,3000,250,9,12,22
0.070,6000,30,0,0,40
0.070,6000,50,0,1,14
0.070,6000,100,2,4,22
0.070,6000,200,8,4,42
0.070,6000,250,3,14,1
0.070,8000,30,0,1,22
0.070,8000,50,2,2,950
0.070,8000,100,0,10,1
0.070,8050,30,6,1,1
0.070,8050,50,2,1,2
0.070,8050,100,3,0,2
0.070,8050,200,14,4,1
0.080,300,30,0,2,1
0.080,300,50,0,4,2
0.080,300,100,0,4,5
0.080,300,200,4,15,7
0.080,300,250,3,16,3
0.080,1000,30,1,3,6
0.080,1000,50,2,1,10
0.080,1000,100,11,1,19
0.080,1000,200,11,4,24
0.080,1000,250,16,0,9
0.080,3000,30,2,0,14
0.080,3000,50,1,6,26
0.080,3000,100,6,3,57
0.080,3000,200,10,15,1
0.080,3000,250,3,9,5
0.080,6000,30,0,1,12
0.080,6000,50,3,3,24
0.080,6000,100,7,2,41
0.080,6000,200,10,9,13
0.080,6000,250,9,19,20
0.080,8000,30,0,3,42
0.080,8000,50,1,0,1
0.080,8000,100,5,9,21
0.080,8000,200,2,7,882
0.080,8050,30,3,1,1
0.080,8050,50,3,0,1
0.080,8050,100,3,1,2
0.080,8050,200,19,2,2
0.100,300,30,0,0,1
0.100,300,50,4,4,1
0.100,300,100,0,6,3
0.100,300,200,11,12,5
0.100,300,250,12,14,6
0.100,1000,30,3,1,3
0.100,1000,50,5,2,6
0.100,1000,100,9,5,10
0.100,1000,200,16,8,20
0.100,1000,250,17,5,25
0.100,3000,30,0,5,10
0.100,3000,50,6,2,15
0.100,3000,100,7,9,27
0.100,3000,200,7,11,1
0.100,3000,250,17,12,1
0.100,6000,30,0,2,1
0.100,6000,50,1,3,10
0.100,6000,100,2,6,12
0.100,6000,200,10,11,26
0.100,6000,250,7,15,43
0.100,8000,30,0,2,1
0.100,8000,50,0,8,17
0.100,8000,100,2,3,14
0.100,8000,200,3,19,19
0.100,8050,30,4,0,39
